title,author,isbn,copies
Che: Part One,Eveline Attwood,291585802-0,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":7891,""status"":""Borrowed""},{""copyNumber"":2444,""status"":""Borrowed""},{""copyNumber"":7801,""status"":""Available""},{""copyNumber"":8438,""status"":""Borrowed""},{""copyNumber"":8724,""status"":""Borrowed""},{""copyNumber"":4623,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":5349,""status"":""Borrowed""},{""copyNumber"":9608,""status"":""Available""},{""copyNumber"":7444,""status"":""Available""},{""copyNumber"":6064,""status"":""Available""}]}]"
Freaky Friday,Stinky Muddimer,304378566-5,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":5113,""status"":""Available""},{""copyNumber"":3731,""status"":""Borrowed""},{""copyNumber"":7680,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":5819,""status"":""Available""}]}]"
Spring in a Small Town (Xiao cheng zhi chun),Friedrich Enric,093034917-2,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":5318,""status"":""Available""},{""copyNumber"":8667,""status"":""Borrowed""},{""copyNumber"":5013,""status"":""Available""},{""copyNumber"":3784,""status"":""Available""},{""copyNumber"":1518,""status"":""Available""},{""copyNumber"":2744,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":9397,""status"":""Available""}]}]"
Dark Eyes (Oci ciornie),Lela Repp,114235221-8,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":9118,""status"":""Available""},{""copyNumber"":2251,""status"":""Available""},{""copyNumber"":8803,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":2705,""status"":""Borrowed""}]}]"
On the Town,Marjy MacKaig,039383030-6,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":6663,""status"":""Available""},{""copyNumber"":8578,""status"":""Available""},{""copyNumber"":5781,""status"":""Available""},{""copyNumber"":4344,""status"":""Borrowed""},{""copyNumber"":7743,""status"":""Borrowed""},{""copyNumber"":8256,""status"":""Available""}]}]"
Love and Sex under Nazi Occupation (Amour et sexe sous l'occupation) ,Whit Dolman,543590211-8,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":7994,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":6487,""status"":""Borrowed""},{""copyNumber"":8993,""status"":""Borrowed""},{""copyNumber"":1586,""status"":""Available""},{""copyNumber"":1318,""status"":""Borrowed""},{""copyNumber"":1731,""status"":""Available""}]}]"
Larry the Cable Guy: Health Inspector,Chaim Loseke,820108578-7,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":8645,""status"":""Borrowed""},{""copyNumber"":3882,""status"":""Borrowed""},{""copyNumber"":1337,""status"":""Available""}]}]"
Broken City,Olia Riping,410027975-2,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":7878,""status"":""Available""},{""copyNumber"":7459,""status"":""Available""},{""copyNumber"":2010,""status"":""Available""},{""copyNumber"":8074,""status"":""Borrowed""}]}]"
"Vanishing, The (Spoorloos)",Lemmie Alpe,455437278-2,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":3822,""status"":""Available""}]}]"
Doppelganger (Dopperugengâ),Burl Ixor,274712147-X,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":8059,""status"":""Borrowed""},{""copyNumber"":7713,""status"":""Borrowed""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":6002,""status"":""Borrowed""},{""copyNumber"":5469,""status"":""Available""},{""copyNumber"":3191,""status"":""Borrowed""},{""copyNumber"":5551,""status"":""Available""},{""copyNumber"":4834,""status"":""Borrowed""},{""copyNumber"":3707,""status"":""Available""}]}]"
"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il)",Delia Bowcock,960544588-3,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":6220,""status"":""Borrowed""},{""copyNumber"":6327,""status"":""Available""},{""copyNumber"":3792,""status"":""Borrowed""},{""copyNumber"":7320,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":7768,""status"":""Available""},{""copyNumber"":9702,""status"":""Borrowed""},{""copyNumber"":1768,""status"":""Available""},{""copyNumber"":1294,""status"":""Available""},{""copyNumber"":8636,""status"":""Available""}]}]"
Sword of the Valiant,Dirk Sooper,672523271-X,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":8005,""status"":""Available""},{""copyNumber"":5720,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":2212,""status"":""Borrowed""},{""copyNumber"":5923,""status"":""Borrowed""}]}]"
Babylon 5: The Gathering,Rice Whibley,036434159-9,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":5963,""status"":""Borrowed""},{""copyNumber"":6719,""status"":""Borrowed""},{""copyNumber"":2882,""status"":""Borrowed""},{""copyNumber"":8757,""status"":""Available""},{""copyNumber"":1676,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":8950,""status"":""Available""},{""copyNumber"":6678,""status"":""Borrowed""}]}]"
Infernal Affairs III (Mou gaan dou III: Jung gik mou gaan),Noby Najara,401888200-9,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":4607,""status"":""Borrowed""},{""copyNumber"":2194,""status"":""Borrowed""},{""copyNumber"":3086,""status"":""Borrowed""},{""copyNumber"":6548,""status"":""Available""},{""copyNumber"":4107,""status"":""Available""},{""copyNumber"":9758,""status"":""Borrowed""}]}]"
Dodsworth,Alick Brims,404465862-5,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":4482,""status"":""Borrowed""}]}]"
"Motel, The",Lisle Allatt,608823011-8,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":9688,""status"":""Borrowed""},{""copyNumber"":7903,""status"":""Borrowed""},{""copyNumber"":4938,""status"":""Borrowed""},{""copyNumber"":3308,""status"":""Available""},{""copyNumber"":5778,""status"":""Borrowed""}]}]"
The Improv: 50 Years Behind the Brick Wall,Vivie Smalridge,834096378-3,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":5309,""status"":""Borrowed""},{""copyNumber"":8866,""status"":""Available""},{""copyNumber"":2956,""status"":""Borrowed""},{""copyNumber"":4507,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":9579,""status"":""Available""},{""copyNumber"":4580,""status"":""Borrowed""},{""copyNumber"":9040,""status"":""Borrowed""},{""copyNumber"":7555,""status"":""Borrowed""}]}]"
The Private Life of Deer,Alice Lytton,353720986-X,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":7422,""status"":""Available""},{""copyNumber"":6216,""status"":""Borrowed""}]}]"
"Trouble with Dee Dee, The",Lorena Balazs,831442944-9,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":9804,""status"":""Available""},{""copyNumber"":2929,""status"":""Available""},{""copyNumber"":2671,""status"":""Borrowed""},{""copyNumber"":5703,""status"":""Borrowed""}]}]"
"Misérables, Les",Alistair Guymer,564869211-0,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9815,""status"":""Borrowed""},{""copyNumber"":7293,""status"":""Available""},{""copyNumber"":3794,""status"":""Borrowed""},{""copyNumber"":6050,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":7600,""status"":""Borrowed""},{""copyNumber"":4650,""status"":""Available""},{""copyNumber"":9307,""status"":""Available""},{""copyNumber"":2087,""status"":""Borrowed""},{""copyNumber"":4354,""status"":""Borrowed""},{""copyNumber"":5983,""status"":""Available""}]}]"
"Inconvenient Truth, An",Killy Brosini,951300684-0,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":4573,""status"":""Borrowed""},{""copyNumber"":5446,""status"":""Available""},{""copyNumber"":9274,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":5575,""status"":""Available""},{""copyNumber"":9464,""status"":""Borrowed""}]}]"
Earth (Zemlya),Rakel Gurge,157974783-3,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":6148,""status"":""Borrowed""},{""copyNumber"":4657,""status"":""Borrowed""},{""copyNumber"":8206,""status"":""Available""},{""copyNumber"":7389,""status"":""Borrowed""},{""copyNumber"":2749,""status"":""Available""}]}]"
"Turning, The",Veronica Houndesome,982382616-1,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":4668,""status"":""Borrowed""},{""copyNumber"":8109,""status"":""Available""},{""copyNumber"":3425,""status"":""Available""},{""copyNumber"":6086,""status"":""Available""},{""copyNumber"":4785,""status"":""Available""}]}]"
Charlie Chan in Rio,Vidovic Kinner,312993919-9,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":4227,""status"":""Borrowed""}]}]"
"Factory, The",Maje Giraldez,748716047-5,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":2244,""status"":""Borrowed""},{""copyNumber"":7482,""status"":""Available""},{""copyNumber"":7319,""status"":""Borrowed""},{""copyNumber"":2594,""status"":""Available""},{""copyNumber"":5486,""status"":""Available""}]}]"
Piter FM,Orly MacKnocker,608821678-6,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":4863,""status"":""Borrowed""},{""copyNumber"":2190,""status"":""Available""}]}]"
More Dead Than Alive,Minnaminnie Daniell,719032631-6,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":3286,""status"":""Available""},{""copyNumber"":3957,""status"":""Borrowed""},{""copyNumber"":9336,""status"":""Available""},{""copyNumber"":3151,""status"":""Available""},{""copyNumber"":4240,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":5138,""status"":""Available""},{""copyNumber"":5477,""status"":""Borrowed""},{""copyNumber"":6677,""status"":""Available""},{""copyNumber"":4466,""status"":""Borrowed""},{""copyNumber"":3438,""status"":""Borrowed""},{""copyNumber"":9049,""status"":""Available""}]}]"
"English Teacher, The",Juana Dillingston,786324390-4,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":6153,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":5133,""status"":""Borrowed""}]}]"
Death of a Nation - The Timor Conspiracy,Ethelred Ollie,543442238-4,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":6356,""status"":""Available""},{""copyNumber"":2682,""status"":""Borrowed""},{""copyNumber"":4029,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":5220,""status"":""Borrowed""},{""copyNumber"":3057,""status"":""Borrowed""},{""copyNumber"":1769,""status"":""Available""},{""copyNumber"":2886,""status"":""Borrowed""},{""copyNumber"":5396,""status"":""Borrowed""},{""copyNumber"":1816,""status"":""Available""}]}]"
Criminal Justice,Ruby Blas,982084207-7,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":1318,""status"":""Available""},{""copyNumber"":7218,""status"":""Available""},{""copyNumber"":5447,""status"":""Available""},{""copyNumber"":8654,""status"":""Borrowed""},{""copyNumber"":1501,""status"":""Available""}]}]"
Someone's Watching Me!,Barry De Ruggero,539720741-1,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":1324,""status"":""Borrowed""},{""copyNumber"":8945,""status"":""Available""},{""copyNumber"":2178,""status"":""Borrowed""}]}]"
Nights in Rodanthe,Angelita Choules,552263673-4,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":1863,""status"":""Borrowed""},{""copyNumber"":8078,""status"":""Available""},{""copyNumber"":5804,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":7964,""status"":""Available""}]}]"
Around the World,Helli Roskilly,307388707-5,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":3216,""status"":""Available""},{""copyNumber"":6945,""status"":""Available""},{""copyNumber"":6684,""status"":""Available""},{""copyNumber"":5588,""status"":""Available""},{""copyNumber"":3299,""status"":""Available""},{""copyNumber"":4200,""status"":""Available""}]}]"
Dirty Story,Melodee Porson,264014841-9,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":6742,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":2591,""status"":""Available""},{""copyNumber"":2289,""status"":""Borrowed""},{""copyNumber"":7427,""status"":""Available""},{""copyNumber"":8971,""status"":""Borrowed""}]}]"
Countdown to Zero,Scottie Giblett,975171620-9,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":1169,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":5562,""status"":""Borrowed""}]}]"
"Quiet Duel, The (Shizukanaru ketto)",Foss Ruzek,700070325-3,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":4074,""status"":""Available""},{""copyNumber"":9790,""status"":""Available""},{""copyNumber"":8783,""status"":""Borrowed""},{""copyNumber"":7959,""status"":""Borrowed""},{""copyNumber"":1058,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":3271,""status"":""Borrowed""},{""copyNumber"":4324,""status"":""Borrowed""},{""copyNumber"":4610,""status"":""Borrowed""},{""copyNumber"":2856,""status"":""Borrowed""},{""copyNumber"":5086,""status"":""Available""}]}]"
Roula,Templeton Olland,899834932-9,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":4385,""status"":""Available""},{""copyNumber"":8615,""status"":""Available""},{""copyNumber"":9796,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":5821,""status"":""Borrowed""},{""copyNumber"":4397,""status"":""Available""},{""copyNumber"":9810,""status"":""Borrowed""},{""copyNumber"":8265,""status"":""Available""},{""copyNumber"":9773,""status"":""Available""}]}]"
Universal Soldier,Farrand Kix,482758220-3,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9185,""status"":""Borrowed""},{""copyNumber"":9019,""status"":""Borrowed""},{""copyNumber"":9224,""status"":""Borrowed""},{""copyNumber"":1530,""status"":""Available""},{""copyNumber"":9300,""status"":""Available""}]}]"
Babysitter Wanted,Charmion Grimm,708592354-7,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":4921,""status"":""Available""},{""copyNumber"":6936,""status"":""Borrowed""},{""copyNumber"":7435,""status"":""Borrowed""},{""copyNumber"":8483,""status"":""Available""},{""copyNumber"":4908,""status"":""Borrowed""},{""copyNumber"":8128,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":5507,""status"":""Borrowed""},{""copyNumber"":2990,""status"":""Available""}]}]"
Batman Unmasked: The Psychology of the Dark Knight,Olivette Kyteley,102774574-1,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":7477,""status"":""Available""},{""copyNumber"":1876,""status"":""Available""},{""copyNumber"":8063,""status"":""Available""},{""copyNumber"":8701,""status"":""Available""},{""copyNumber"":1761,""status"":""Borrowed""},{""copyNumber"":9877,""status"":""Borrowed""}]}]"
End of the Game (Der Richter und sein Henker),Jan Beggio,806048025-1,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":3540,""status"":""Available""},{""copyNumber"":1418,""status"":""Available""},{""copyNumber"":9359,""status"":""Borrowed""},{""copyNumber"":1003,""status"":""Borrowed""},{""copyNumber"":2042,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":2425,""status"":""Borrowed""},{""copyNumber"":2587,""status"":""Available""},{""copyNumber"":6293,""status"":""Borrowed""},{""copyNumber"":6080,""status"":""Borrowed""},{""copyNumber"":9530,""status"":""Borrowed""},{""copyNumber"":7177,""status"":""Available""}]}]"
Trailer Park Boys,Delphinia Gearty,111400239-9,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":8868,""status"":""Borrowed""},{""copyNumber"":8767,""status"":""Available""},{""copyNumber"":3828,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":7470,""status"":""Available""},{""copyNumber"":3421,""status"":""Borrowed""}]}]"
Angie,Crystie Gotliffe,547134451-0,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":6590,""status"":""Available""},{""copyNumber"":6115,""status"":""Available""},{""copyNumber"":1241,""status"":""Available""},{""copyNumber"":5661,""status"":""Borrowed""},{""copyNumber"":6920,""status"":""Borrowed""}]}]"
"Good Girl, The",Dagny Maseyk,987227765-6,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":7055,""status"":""Borrowed""},{""copyNumber"":1764,""status"":""Borrowed""},{""copyNumber"":9065,""status"":""Borrowed""},{""copyNumber"":3363,""status"":""Borrowed""},{""copyNumber"":8353,""status"":""Available""}]}]"
Stacy's Knights,Osborne Kender,067094503-X,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":7012,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":1471,""status"":""Available""},{""copyNumber"":7575,""status"":""Borrowed""}]}]"
"Other F Word, The",Carry Forman,924850566-X,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":6302,""status"":""Available""},{""copyNumber"":9125,""status"":""Borrowed""},{""copyNumber"":3019,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":3969,""status"":""Borrowed""},{""copyNumber"":9943,""status"":""Borrowed""},{""copyNumber"":9607,""status"":""Borrowed""}]}]"
About Last Night,Abram Baskeyfield,563823803-4,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":1072,""status"":""Borrowed""},{""copyNumber"":8336,""status"":""Available""},{""copyNumber"":4134,""status"":""Borrowed""},{""copyNumber"":2197,""status"":""Borrowed""}]}]"
"Corridor, The",Bancroft Salmen,207838021-0,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":3528,""status"":""Borrowed""},{""copyNumber"":9713,""status"":""Available""},{""copyNumber"":9973,""status"":""Borrowed""},{""copyNumber"":3015,""status"":""Borrowed""}]}]"
Island in the Sun,Miguel Funcheon,946446947-1,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":8052,""status"":""Available""},{""copyNumber"":9572,""status"":""Available""},{""copyNumber"":7145,""status"":""Available""},{""copyNumber"":9818,""status"":""Available""},{""copyNumber"":1344,""status"":""Borrowed""},{""copyNumber"":7494,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":6594,""status"":""Available""},{""copyNumber"":4490,""status"":""Available""}]}]"
Force Majeure (Turist),Zebedee Jeyness,000666670-1,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":5704,""status"":""Borrowed""},{""copyNumber"":7026,""status"":""Borrowed""},{""copyNumber"":7126,""status"":""Available""},{""copyNumber"":6690,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":7385,""status"":""Borrowed""}]}]"
Crazy Horse,Papageno Brazel,835087344-2,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":6150,""status"":""Borrowed""},{""copyNumber"":3008,""status"":""Available""},{""copyNumber"":6934,""status"":""Available""},{""copyNumber"":4773,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":2751,""status"":""Borrowed""},{""copyNumber"":2751,""status"":""Borrowed""},{""copyNumber"":1334,""status"":""Borrowed""},{""copyNumber"":3768,""status"":""Borrowed""},{""copyNumber"":3293,""status"":""Borrowed""}]}]"
That's My Boy,Janet Attenborough,947481408-2,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":3495,""status"":""Available""},{""copyNumber"":6140,""status"":""Available""},{""copyNumber"":1923,""status"":""Borrowed""},{""copyNumber"":4969,""status"":""Borrowed""},{""copyNumber"":9823,""status"":""Borrowed""}]}]"
"Divorce, Le",Sapphira Rotge,804799696-7,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":4725,""status"":""Available""},{""copyNumber"":9290,""status"":""Available""},{""copyNumber"":5226,""status"":""Borrowed""},{""copyNumber"":6881,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":4311,""status"":""Available""},{""copyNumber"":9871,""status"":""Borrowed""},{""copyNumber"":3243,""status"":""Borrowed""},{""copyNumber"":7963,""status"":""Borrowed""},{""copyNumber"":9241,""status"":""Borrowed""},{""copyNumber"":1724,""status"":""Available""}]}]"
Eichmann,Muffin Maguire,490275157-7,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":2657,""status"":""Available""},{""copyNumber"":3867,""status"":""Available""},{""copyNumber"":7874,""status"":""Borrowed""},{""copyNumber"":8237,""status"":""Borrowed""},{""copyNumber"":4051,""status"":""Borrowed""},{""copyNumber"":2500,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":4589,""status"":""Available""},{""copyNumber"":1998,""status"":""Available""},{""copyNumber"":2140,""status"":""Available""},{""copyNumber"":5230,""status"":""Borrowed""},{""copyNumber"":6075,""status"":""Available""}]}]"
Eulogy,Kristos Mimmack,610545549-6,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":9208,""status"":""Borrowed""},{""copyNumber"":8223,""status"":""Available""},{""copyNumber"":9915,""status"":""Available""},{""copyNumber"":3598,""status"":""Borrowed""},{""copyNumber"":5367,""status"":""Borrowed""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":5090,""status"":""Available""},{""copyNumber"":3181,""status"":""Borrowed""}]}]"
Valentine,Ahmed Knudsen,512537559-4,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":3686,""status"":""Borrowed""},{""copyNumber"":6422,""status"":""Borrowed""},{""copyNumber"":5189,""status"":""Available""},{""copyNumber"":7282,""status"":""Borrowed""}]}]"
Green Ice,Roxanne Eveleigh,697996596-4,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":8825,""status"":""Available""},{""copyNumber"":7896,""status"":""Borrowed""},{""copyNumber"":2111,""status"":""Borrowed""},{""copyNumber"":5578,""status"":""Borrowed""},{""copyNumber"":9187,""status"":""Borrowed""},{""copyNumber"":7697,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":3303,""status"":""Borrowed""},{""copyNumber"":6867,""status"":""Available""}]}]"
Experience Preferred... But Not Essential,Trude Thow,755229275-X,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":2124,""status"":""Borrowed""},{""copyNumber"":9383,""status"":""Available""},{""copyNumber"":4313,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":6027,""status"":""Available""},{""copyNumber"":5217,""status"":""Borrowed""},{""copyNumber"":7521,""status"":""Available""},{""copyNumber"":5922,""status"":""Borrowed""},{""copyNumber"":2278,""status"":""Available""},{""copyNumber"":4647,""status"":""Borrowed""}]}]"
Giorgino,Muffin Roskell,560955255-9,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":2105,""status"":""Available""},{""copyNumber"":6768,""status"":""Borrowed""},{""copyNumber"":8431,""status"":""Borrowed""},{""copyNumber"":1131,""status"":""Borrowed""},{""copyNumber"":9935,""status"":""Borrowed""}]}]"
Nights and Weekends,Chaunce Willingham,951029552-3,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":7304,""status"":""Available""},{""copyNumber"":7136,""status"":""Available""},{""copyNumber"":4011,""status"":""Borrowed""},{""copyNumber"":5894,""status"":""Borrowed""}]}]"
My Brother the Terrorist,Hagan Rigard,185479966-5,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":5622,""status"":""Available""},{""copyNumber"":4053,""status"":""Borrowed""},{""copyNumber"":7316,""status"":""Available""}]}]"
